week_number,day_of_week_name,pickup_neighborhood,demand,est_real_demand,predicted_demand
1,Thursday,Stuyvesant Town-Cooper Village,2.0,3512.42,3394.223000220974
1,Thursday,Turtle Bay-East Midtown,19.5,34246.095,29704.216138309537
1,Thursday,Upper East Side-Carnegie Hill,12.25,21513.572500000002,28714.236551980644
1,Thursday,Upper West Side,13.5,23708.835,24368.31874556113
1,Thursday,Washington Heights North,1.0,1756.21,1862.0899399575271
1,Thursday,Washington Heights South,2.0,3512.42,2080.737151366707
1,Thursday,West Brighton,1.0,1756.21,1999.5400722630827
1,Thursday,West Village,18.5,32489.885000000002,27379.816884706237
1,Thursday,Yorkville,16.0,28099.36,20969.483181309028
1,Thursday,park-cemetery-etc-Manhattan,7.0,12293.470000000001,11651.399900864571
1,Tuesday,Airport,19.0,33367.99,23584.343929404604
1,Tuesday,Battery Park City-Lower Manhattan,8.0,14049.68,16395.9829103968
1,Tuesday,Briarwood-Jamaica Hills,1.0,1756.21,2029.644998160452
1,Tuesday,Carroll Gardens-Columbia Street-Red Hook,1.0,1756.21,2156.520616736346
1,Tuesday,Central Harlem South,1.0,1756.21,3202.252884414896
1,Tuesday,Chinatown,5.0,8781.05,10467.079222778111
1,Tuesday,Clinton,17.0,29855.57,24378.745183502466
1,Tuesday,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2.0,3512.42,2702.6023076109063
1,Tuesday,East Harlem North,1.0,1756.21,3157.3002251115054
1,Tuesday,East Harlem South,4.0,7024.84,5961.023826129378
1,Tuesday,East Village,15.0,26343.15,20182.062044434555
1,Tuesday,East Williamsburg,2.0,3512.42,2158.9675924787894
1,Tuesday,Fort Greene,1.0,1756.21,2023.7840566360844
1,Tuesday,Gramercy,6.0,10537.26,16257.77683185088
1,Tuesday,Hudson Yards-Chelsea-Flatiron-Union Square,19.833333333333332,34831.49833333333,32086.958903631188
1,Tuesday,Hunters Point-Sunnyside-West Maspeth,2.0,3512.42,4018.259167498913
1,Tuesday,Lenox Hill-Roosevelt Island,12.0,21074.52,23036.16290146864
1,Tuesday,Lincoln Square,7.0,12293.470000000001,20941.908370446243
1,Tuesday,Lower East Side,4.0,7024.84,4759.011025730067
1,Tuesday,Midtown-Midtown South,23.966666666666665,42090.49966666666,40921.176098834585
1,Tuesday,Morningside Heights,8.0,14049.68,8272.964453449647
1,Tuesday,Mott Haven-Port Morris,1.0,1756.21,2468.6153684578903
1,Tuesday,Murray Hill-Kips Bay,12.0,21074.52,24313.16539611162
1,Tuesday,North Side-South Side,3.0,5268.63,3648.0017204972073
1,Tuesday,Park Slope-Gowanus,1.0,1756.21,1876.7934152625585
1,Tuesday,Queensbridge-Ravenswood-Long Island City,2.0,3512.42,2829.328120014696
1,Tuesday,SoHo-TriBeCa-Civic Center-Little Italy,14.333333333333334,25172.343333333334,26002.917169911743
1,Tuesday,Steinway,1.0,1756.21,2193.593458944726
1,Tuesday,Stuyvesant Town-Cooper Village,1.0,1756.21,3068.01800635349
1,Tuesday,Sunset Park West,1.0,1756.21,1923.8631744449592
1,Tuesday,Turtle Bay-East Midtown,17.833333333333332,31319.07833333333,29494.80831098724
1,Tuesday,Upper East Side-Carnegie Hill,15.666666666666666,27513.956666666665,28387.05842711933
1,Tuesday,Upper West Side,14.5,25465.045000000002,23809.68923011948
1,Tuesday,West Village,16.0,28099.36,25620.20151099584
1,Tuesday,Woodside,1.0,1756.21,1991.424143115764
1,Tuesday,Yorkville,13.0,22830.73,18997.87213914784
1,Tuesday,park-cemetery-etc-Manhattan,8.0,14049.68,12534.844023143294
1,Wednesday,Airport,13.333333333333334,23416.133333333335,22691.88193428836
1,Wednesday,Astoria,1.0,1756.21,2811.353355391548
1,Wednesday,Battery Park City-Lower Manhattan,7.0,12293.470000000001,17088.388286696798
1,Wednesday,Brooklyn Heights-Cobble Hill,3.0,5268.63,3311.460994290076
1,Wednesday,Central Harlem North-Polo Grounds,1.0,1756.21,2231.557025738085
1,Wednesday,Central Harlem South,2.0,3512.42,3456.101365567125
1,Wednesday,Chinatown,11.0,19318.31,12919.76774821299
1,Wednesday,Clinton,10.333333333333334,18147.503333333334,24416.21137203265
1,Wednesday,East Elmhurst,1.0,1756.21,2120.692188896915
1,Wednesday,East Harlem North,2.0,3512.42,3688.3680353554287
1,Wednesday,East Harlem South,7.0,12293.470000000001,6620.102034501999
1,Wednesday,East Village,10.0,17562.1,20169.84491597588
1,Wednesday,East Williamsburg,1.0,1756.21,2243.167972704563
1,Wednesday,Gramercy,7.0,12293.470000000001,16572.733824553554
1,Wednesday,Hudson Yards-Chelsea-Flatiron-Union Square,19.5,34246.095,32169.748485728524
1,Wednesday,Hunters Point-Sunnyside-West Maspeth,7.0,12293.470000000001,4572.065639722454
1,Wednesday,Jackson Heights,2.0,3512.42,2462.96941793742
1,Wednesday,Jamaica,1.0,1756.21,2043.422317098859
1,Wednesday,Kingsbridge Heights,1.0,1756.21,2070.984779965276
1,Wednesday,Lenox Hill-Roosevelt Island,15.0,26343.15,23146.34828329348
1,Wednesday,Lincoln Square,13.0,22830.73,21193.01572090695
1,Wednesday,Lower East Side,2.0,3512.42,4505.238072555354
1,Wednesday,Midtown-Midtown South,24.53333333333333,43085.68533333333,40482.51939659274
1,Wednesday,Morningside Heights,4.0,7024.84,8327.930440041404
1,Wednesday,Murray Hill-Kips Bay,17.5,30733.675,24769.29359963468
1,Wednesday,North Side-South Side,3.0,5268.63,3974.139356860545
1,Wednesday,Parkchester,1.0,1756.21,2002.706421960832
1,Wednesday,Prospect Heights,1.0,1756.21,2079.811456556884
1,Wednesday,SoHo-TriBeCa-Civic Center-Little Italy,12.5,21952.625,25513.01798876605
1,Wednesday,Steinway,1.0,1756.21,2219.555524910083
1,Wednesday,Stuyvesant Heights,1.0,1756.21,1977.751794740512
1,Wednesday,Stuyvesant Town-Cooper Village,1.0,1756.21,3269.076022684876
1,Wednesday,Turtle Bay-East Midtown,20.5,36002.305,29739.87459042794
1,Wednesday,University Heights-Morris Heights,1.0,1756.21,2014.1387964154453
1,Wednesday,Upper East Side-Carnegie Hill,15.75,27660.3075,27884.189810146487
1,Wednesday,Upper West Side,15.5,27221.255,24347.243992366035
1,Wednesday,Washington Heights South,1.0,1756.21,2316.9146787801105
1,Wednesday,West Village,13.0,22830.73,26287.960263280333
1,Wednesday,Yorkville,13.0,22830.73,20340.52968715573
1,Wednesday,park-cemetery-etc-Manhattan,8.0,14049.68,12255.16648470347
10,Friday,Airport,9.833333333333334,17269.398333333334,19824.131765610957
10,Friday,Baisley Park,1.0,1756.21,1827.8799034662327
10,Friday,Battery Park City-Lower Manhattan,8.0,14049.68,17778.360749036932
10,Friday,Brooklyn Heights-Cobble Hill,4.0,7024.84,3053.398870640077
10,Friday,Bushwick North,1.0,1756.21,2165.320020070908
10,Friday,Carroll Gardens-Columbia Street-Red Hook,1.0,1756.21,2773.3161998683954
10,Friday,Chinatown,10.0,17562.1,14304.505955902734
10,Friday,Clinton,15.5,27221.255,25640.92342559321
10,Friday,Co-op City,1.0,1756.21,1989.156973067397
10,Friday,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1.0,1756.21,3780.2596455024745
10,Friday,East Harlem North,2.0,3512.42,3754.172327602437
10,Friday,East Harlem South,2.0,3512.42,6102.672734146757
10,Friday,East Village,14.0,24586.940000000002,21717.51487482881
10,Friday,Forest Hills,1.0,1756.21,1907.5230867206303
10,Friday,Fort Greene,1.0,1756.21,2687.6124346601478
10,Friday,Gramercy,13.0,22830.73,20419.09521861672
10,Friday,Hamilton Heights,1.0,1756.21,2364.4748595706724
10,Friday,Hudson Yards-Chelsea-Flatiron-Union Square,20.083333333333332,35270.550833333335,36389.57568254309
10,Friday,Hunters Point-Sunnyside-West Maspeth,3.0,5268.63,3954.851486463244
10,Friday,Lenox Hill-Roosevelt Island,15.25,26782.2025,24450.52618696975
10,Friday,Lincoln Square,16.0,28099.36,23547.69336236581
10,Friday,Lower East Side,3.0,5268.63,5242.460748741233
10,Friday,Manhattanville,1.0,1756.21,2110.972038624397
10,Friday,Midtown-Midtown South,24.5,43027.145000000004,45416.79462925952
10,Friday,Morningside Heights,5.0,8781.05,10064.852136742076
10,Friday,Murray Hill-Kips Bay,12.5,21952.625,26944.40718844346
10,Friday,North Side-South Side,3.0,5268.63,4592.3340759948605
10,Friday,SoHo-TriBeCa-Civic Center-Little Italy,12.333333333333334,21659.923333333336,27520.957427803576
10,Friday,South Ozone Park,1.0,1756.21,1854.888842645202
10,Friday,Stuyvesant Town-Cooper Village,3.0,5268.63,4258.607076763046
10,Friday,Sunset Park West,1.0,1756.21,1855.628075176164
10,Friday,Turtle Bay-East Midtown,12.7,22303.867,29517.72282880946
10,Friday,Upper East Side-Carnegie Hill,15.75,27660.3075,28862.895378901147
10,Friday,Upper West Side,11.0,19318.31,26002.66908108709
10,Friday,Washington Heights South,1.0,1756.21,2066.797310580068
10,Friday,West Village,19.416666666666668,34099.74416666667,31970.051093861555
10,Friday,Yorkville,11.5,20196.415,21635.532987783376
10,Friday,park-cemetery-etc-Manhattan,8.0,14049.68,11113.746331863198
10,Monday,Airport,14.666666666666666,25757.746666666666,21350.32575342982
10,Monday,Astoria,1.0,1756.21,2649.35302953619
10,Monday,Battery Park City-Lower Manhattan,7.5,13171.575,15642.953349565843
10,Monday,Bedford,1.0,1756.21,1763.009964937411
10,Monday,Carroll Gardens-Columbia Street-Red Hook,1.0,1756.21,2410.409817332099
10,Monday,Central Harlem South,1.0,1756.21,3134.175311680486
10,Monday,Chinatown,2.0,3512.42,9700.691362633852
10,Monday,Clinton,11.5,20196.415,22414.360720363824
10,Monday,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3.0,5268.63,3004.2871685568407
10,Monday,East Harlem South,7.0,12293.470000000001,5550.834137010676
10,Monday,East Village,6.0,10537.26,17195.66169362123
10,Monday,Gramercy,12.0,21074.52,17233.280476176573
10,Monday,Greenpoint,1.0,1756.21,1843.6053240448484
10,Monday,Hamilton Heights,1.0,1756.21,1919.4225708797728
10,Monday,Hudson Yards-Chelsea-Flatiron-Union Square,19.0,33367.99,31398.645741704164
10,Monday,Lenox Hill-Roosevelt Island,10.0,17562.1,21649.39771281213
10,Monday,Lincoln Square,12.0,21074.52,20939.56722974904
10,Monday,Lower East Side,2.0,3512.42,4382.986053397864
10,Monday,Midtown-Midtown South,25.266666666666666,44373.57266666667,44270.78740445706
10,Monday,Morningside Heights,6.0,10537.26,8413.513926782654
10,Monday,Mott Haven-Port Morris,1.0,1756.21,1852.7018632681863
10,Monday,Murray Hill-Kips Bay,12.5,21952.625,22744.1438941763
10,Monday,North Side-South Side,3.0,5268.63,3683.832332538301
10,Monday,SoHo-TriBeCa-Civic Center-Little Italy,15.5,27221.255,24158.040648066664
10,Monday,Soundview-Bruckner,1.0,1756.21,1815.005486182985
10,Monday,Steinway,1.0,1756.21,1909.7619344157567
10,Monday,Stuyvesant Town-Cooper Village,3.0,5268.63,3457.57736800695
10,Monday,Turtle Bay-East Midtown,13.333333333333334,23416.133333333335,27450.62385997713
10,Monday,Upper East Side-Carnegie Hill,14.0,24586.940000000002,26651.201541869443
10,Monday,Upper West Side,11.0,19318.31,22793.12656095617
10,Monday,West Village,17.0,29855.57,28779.221225542213
10,Monday,Yorkville,9.0,15805.89,17457.467208964907
10,Monday,park-cemetery-etc-Manhattan,2.0,3512.42,8813.560805949837
10,Monday,park-cemetery-etc-Queens,1.0,1756.21,1727.7250732560815
10,Saturday,Airport,9.0,15805.89,17958.79691541481
10,Saturday,Astoria,1.0,1756.21,3368.485992299828
10,Saturday,Baisley Park,1.0,1756.21,2021.244132799881
10,Saturday,Battery Park City-Lower Manhattan,11.0,19318.31,17609.90659027305
10,Saturday,Bedford,1.0,1756.21,2154.376715724216
10,Saturday,Chinatown,12.0,21074.52,17207.71001231092
10,Saturday,Clinton,15.5,27221.255,26314.269160642874
10,Saturday,Clinton Hill,2.0,3512.42,2824.422225108474
10,Saturday,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1.0,1756.21,4022.152495722148
10,Saturday,East Concourse-Concourse Village,1.0,1756.21,1964.132051204588
10,Saturday,East Harlem North,2.0,3512.42,3870.6397446407977
10,Saturday,East Harlem South,1.0,1756.21,5851.802091337163
10,Saturday,East Village,13.666666666666666,24001.536666666667,23904.263537763454
10,Saturday,Forest Hills,1.0,1756.21,2145.598300878354
10,Saturday,Gramercy,12.666666666666666,22245.326666666668,21158.414588108608
10,Saturday,Greenpoint,2.0,3512.42,2871.824092104589
10,Saturday,Hudson Yards-Chelsea-Flatiron-Union Square,17.7,31084.916999999998,35404.176415055175
10,Saturday,Hunters Point-Sunnyside-West Maspeth,4.0,7024.84,4724.632342803276
10,Saturday,Lenox Hill-Roosevelt Island,12.5,21952.625,23524.35557834836
10,Saturday,Lincoln Square,14.333333333333332,25172.34333333333,23174.44222673812
10,Saturday,Lower East Side,4.0,7024.84,7562.485734101268
10,Saturday,Manhattanville,1.0,1756.21,2215.8796403762904
10,Saturday,Midtown-Midtown South,24.283333333333335,42646.63283333334,43610.41882364458
10,Saturday,Morningside Heights,4.0,7024.84,9435.421422253045
10,Saturday,Murray Hill-Kips Bay,10.0,17562.1,26658.47988264804
10,Saturday,North Side-South Side,3.0,5268.63,6501.14645353134
10,Saturday,Park Slope-Gowanus,4.0,7024.84,3342.4267030140877
10,Saturday,Prospect Heights,1.0,1756.21,2125.2080052889337
10,Saturday,Queensbridge-Ravenswood-Long Island City,2.0,3512.42,3116.669520846838
10,Saturday,SoHo-TriBeCa-Civic Center-Little Italy,18.0,31611.78,27223.13969068001
10,Saturday,Steinway,1.0,1756.21,2469.122068470915
10,Saturday,Stuyvesant Heights,1.0,1756.21,1893.870353654308
10,Saturday,Stuyvesant Town-Cooper Village,3.0,5268.63,4909.013197490736
10,Saturday,Turtle Bay-East Midtown,11.5,20196.415,28453.28271953533
10,Saturday,Upper East Side-Carnegie Hill,13.833333333333334,24294.238333333335,27688.025427393008
10,Saturday,Upper West Side,16.5,28977.465,26563.72392186783
10,Saturday,Washington Heights South,1.0,1756.21,2260.62542268461
10,Saturday,West Village,20.833333333333332,36587.70833333333,31882.118843461696
10,Saturday,Woodside,2.0,3512.42,2213.854071817634
10,Saturday,Yorkville,13.5,23708.835,21762.831883639505
10,Saturday,park-cemetery-etc-Manhattan,6.0,10537.26,11058.442027858042
10,Sunday,Airport,14.5,25465.045000000002,19905.73731999845
10,Sunday,Astoria,2.0,3512.42,3482.0869708340992
10,Sunday,Battery Park City-Lower Manhattan,10.0,17562.1,15628.18882729778
10,Sunday,Brighton Beach,1.0,1756.21,2012.3735610338836
10,Sunday,Brooklyn Heights-Cobble Hill,1.0,1756.21,3248.033452977526
10,Sunday,Carroll Gardens-Columbia Street-Red Hook,2.0,3512.42,3182.346274456488
10,Sunday,Central Harlem South,4.0,7024.84,3790.475547812224
10,Sunday,Chinatown,11.0,19318.31,15366.47537597708
10,Sunday,Clinton,12.0,21074.52,24863.70005710256
10,Sunday,East Harlem North,3.0,5268.63,3683.321723629929
10,Sunday,East Harlem South,2.0,3512.42,5828.878645513797
10,Sunday,East New York,1.0,1756.21,2277.237385007231
10,Sunday,East Village,16.583333333333332,29123.81583333333,23139.95651706359
10,Sunday,Forest Hills,1.0,1756.21,2017.0244455801032
10,Sunday,Fort Greene,2.0,3512.42,2487.1785521592715
10,Sunday,Gramercy,13.0,22830.73,18982.50308452066
10,Sunday,Greenpoint,1.0,1756.21,2723.057692764706
10,Sunday,Hudson Yards-Chelsea-Flatiron-Union Square,23.78333333333333,41768.52783333333,33698.920660854936
10,Sunday,Hunters Point-Sunnyside-West Maspeth,2.0,3512.42,4227.263762655682
10,Sunday,Kensington-Ocean Parkway,1.0,1756.21,2096.960774490469
