week_number,day_of_week_name,pickup_neighborhood,demand,est_real_demand,drivers_needed,drivers_needed_pred
1,Sunday,Erasmus,1.0,1756.21,161,148.62112292802448
1,Sunday,Gramercy,6.0,10537.26,967,1535.1252668370253
1,Sunday,Hudson Yards-Chelsea-Flatiron-Union Square,14.833333333333334,26050.448333333334,2390,2811.914898312701
1,Sunday,Lenox Hill-Roosevelt Island,15.0,26343.15,2417,2020.1924137963565
1,Sunday,Lincoln Square,11.0,19318.31,1772,1776.764705541673
1,Sunday,Lower East Side,2.0,3512.42,322,502.51184782588746
1,Sunday,Maspeth,1.0,1756.21,161,146.10547621783337
1,Sunday,Midtown-Midtown South,22.883333333333333,40187.93883333333,3687,3430.6506620094174
1,Sunday,Morningside Heights,2.0,3512.42,322,653.370496451557
1,Sunday,Murray Hill-Kips Bay,7.0,12293.470000000001,1128,2124.9074149826715
1,Sunday,North Side-South Side,2.0,3512.42,322,500.3459691410528
1,Sunday,Park Slope-Gowanus,1.0,1756.21,161,181.876189798857
1,Sunday,SoHo-TriBeCa-Civic Center-Little Italy,14.0,24586.940000000002,2256,2308.2906166814446
1,Sunday,Steinway,1.0,1756.21,161,156.6488450781863
1,Sunday,Turtle Bay-East Midtown,14.0,24586.940000000002,2256,2359.658701001056
1,Sunday,Upper East Side-Carnegie Hill,18.0,31611.78,2900,2214.4131779120708
1,Sunday,Upper West Side,9.0,15805.89,1450,2110.0414937435685
1,Sunday,West Village,12.0,21074.52,1933,2391.3306379616
1,Sunday,Woodside,1.0,1756.21,161,135.26518058643708
1,Sunday,Yorkville,6.0,10537.26,967,1741.6437873439747
1,Sunday,park-cemetery-etc-Manhattan,6.0,10537.26,967,927.4390785664611
1,Thursday,Airport,15.5,27221.255,2497,2035.02351979266
1,Thursday,Bath Beach,1.0,1756.21,161,181.61350969339884
1,Thursday,Battery Park City-Lower Manhattan,14.0,24586.940000000002,2256,1582.5936110281218
1,Thursday,Bedford,1.0,1756.21,161,167.326192721341
1,Thursday,Carroll Gardens-Columbia Street-Red Hook,1.0,1756.21,161,195.17229453210857
1,Thursday,Central Harlem North-Polo Grounds,2.0,3512.42,322,173.5665273163836
1,Thursday,Central Harlem South,3.0,5268.63,483,277.1431048220161
1,Thursday,Chinatown,7.0,12293.470000000001,1128,1185.5514172321396
1,Thursday,Clinton,14.0,24586.940000000002,2256,2215.846394493746
1,Thursday,Crown Heights North,1.0,1756.21,161,165.98190342757837
1,Thursday,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2.0,3512.42,322,237.73808147236616
